,TT_74FS,XGS600_T1,XGS600_T2,XGS600_T3,XGS600_T4
2025-09-18 11:04:23.749845-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:04:24.767769-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:25.780731-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:26.749653-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:04:27.749805-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:28.749136-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:04:29.764773-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:30.765323-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:04:31.780829-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:32.764700-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:33.765081-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:34.781015-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:35.798754-05:00,1.1,1919.0,,13.33,0.9299
2025-09-18 11:04:36.796200-05:00,1.1,1919.0,,13.33,0.9299
2025-09-18 11:04:37.795810-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:04:38.796081-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:39.811905-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:40.843564-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:41.827163-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:04:42.828226-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:43.831362-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:04:44.828289-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:45.842729-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:46.827586-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:04:47.842652-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:48.846092-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:04:49.842659-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:50.843576-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:04:51.843578-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:52.843116-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:53.858515-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:54.843318-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:55.845136-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:56.859008-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:57.843562-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:58.842782-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:59.843120-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:00.858822-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:05:01.874461-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:05:02.874099-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:03.874542-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:04.905213-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:05.892430-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:05:06.906102-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:07.876697-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:08.873881-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:09.873901-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:10.874784-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:11.874581-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:12.874606-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:05:13.874377-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:14.889794-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:15.889486-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:16.890177-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:17.890275-05:00,1.1,1934.0,,13.33,0.9277
2025-09-18 11:05:18.905680-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:19.921222-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:20.920931-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:21.937169-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:22.924997-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:23.940117-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:24.947368-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:25.937141-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:26.968160-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:27.952174-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:28.952512-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:29.952614-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:05:30.968022-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:31.952766-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:32.952608-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:05:33.955303-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:34.989139-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:05:35.970924-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:05:36.983868-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:05:37.968251-05:00,1.1,1919.0,,13.33,0.9277
